Company,Plant name,Plant location,Plant cost (in US$ billions),Started production,Wafer size (mm),Process technology node (nm),Production capacity (Wafers/Month),Technology / products,Country_Clean
Intel,Fab 32[52][51],"United States,  Arizona, Chandler",,2007,300,"32, 22",,Microprocessors[51],Fab 32[52][51]
Intel,Fab 42[55][56][51],"United States,  Arizona, Chandler",10[57],2020[58],300,"10, 7",,Microprocessors[51],Fab 42[55][56][51]
Intel,"Fab 52, 62[59][60]","United States,  Arizona, Chandler",20[59],2024[59],,,,Microprocessors[59],Fab 52
Intel,Fab 11x[52][51],"United States, New Mexico, Rio Rancho",,2002,300,"45, 32",,Microprocessors[51],Fab 11x[52][51]
Intel (formerly Micron) (formerly Numonyx) (formerly Intel),Fab 18[61],"Israel, Southern District, Kiryat Gat",,1996,"200, 300","180, 90, 65, 45",,"Microprocessors and chipsets,[62] NOR flash",Fab 18[61]
Intel,Fab 10[52],"Ireland, County Kildare, Leixlip",,1994,300,,,,Fab 10[52]
Intel,Fab 14[52],"Ireland, County Kildare, Leixlip",,1998,300,,,,Fab 14[52]
Intel,Fab 24[52][51],"Ireland, County Kildare, Leixlip",,2004,300,"90, 65, 14[63]",,"Microprocessors, Chipsets and Comms[51]",Fab 24[52][51]
Intel,Fab 28[52][51],"Israel, Southern District, Kiryat Gat",,2008,300,"45, 22, 10",,Microprocessors[51],Fab 28[52][51]
Intel,Fab 38[64],"Israel, Southern District, Kiryat Gat",,Under construction,300,,,Microprocessors[51],Fab 38[64]
Intel,Fab 68[52][65],"China, Dalian",2.5,2010,300,65[66],"30,000–52,000","Microprocessors (former), VNAND[51]",Fab 68[52][65]
"Costa Rican Ministry of Innovation, Science, Technology and Telecommunications","Centro de Exelencia, Distrito Tecnologico T24","Costa Rica,  San Jose,  San Jose",0.5,Under Construction,300,20 and under,,"Research on Foundry, AI BEOL & microprocessors",Centro de Exelencia
Tower Semiconductor (formerly Maxim) (formerly Philips) (formerly VLSI),Fab 9[67][68],"United States,  Texas, San Antonio",,2003,200,180,28000,"Foundry, Al BEOL, Power, RF Analog",Fab 9[67][68]
Tower Semiconductor (formerly National Semiconductor),Fab 1[69],"Israel, Northern District, Migdal HaEmek",0.235[3],"1989, 1986[3]",150,1000–350,14000,"Foundry, Planarized BEOL, W and Oxide CMP, CMOS, CIS, Power, Power Discrete",Fab 1[69]
Tower Semiconductor,Fab 2[69],"Israel, Northern District, Migdal HaEmek",1.226[3],2003,200,180–130,"51,000[3]","Foundry, Cu and Al BEOL, EPI, 193 nm Scanner, CMOS, CIS, Power, Power Discrete, MEMS, RFCMOS",Fab 2[69]
Tower Semiconductor (formerly Jazz Technologies) (formerly Conexant) (formerly Rockwell),"Fab 3,[69] Newport Beach[3]","United States,  California, Newport Beach",0.165[3],"1967, 1995[3]",200,500-130,"25,000[3]","Foundry, Al BEOL, SiGe, EPI",Fab 3
Tower Semiconductor – TPSCo (formerly Panasonic),"Fab 5,[69] Tonami[70]","Japan, Tonami",,1994,200,500–130,,"Foundry, Analog/Mixed-Signal, Power, Discrete, NVM, CCD",Fab 5
Tower Semiconductor – TPSCo (formerly Panasonic),"Fab 7,[69] Uozu[70]","Japan, Uozu",,1984,300,65. 45,,"Foundry, CMOS, CIS, RF SOI, Analog/Mixed-Signal",Fab 7
Tower Semiconductor – TPSCo (formerly Panasonic),"Fab 6,[69] Arai[70]","Japan, Arai",,1976,200,130–110,,"Foundry, Analog/Mixed-Signal, CIS, NVM,Thick Cu RDL",Fab 6
Nuvoton[71],Fab2,"Taiwan, Hsinchu",,,150,1000-350,"45,000[71]","Generic Logic, Mixed Signal (Mixed Mode), High Voltage, Ultra High Voltage, Power Management, Mask ROM (Flat Cell), Embedded Logic, Non-Volatile Memory, IGBT, MOSFET, Biochip, TVS, Sensor",Fab2
ISRO,SCL[72],"India, Mohali",,2006,200,180,,"MEMS, CMOS, CCD, N.S.",SCL[72]
STAR-C[73][74],MEMS[74],"India, Bangalore",,1996,150,1000–500,,MEMS,MEMS[74]
STAR-C[73][74],CMOS[74],"India, Bangalore",,1996,150,1000–500,,CMOS,CMOS[74]
GAETEC[73][75],GaAs[75],"India, Hyderabad",,1996,150,700–500,,MESFET,GaAs[75]
BAE Systems (formerly Sanders),,"United States, New Hampshire, Nashua[3]",,1985[3],"100, 150","140, 100, 70, 50",,"MMIC, GaAs, GaN-on-SiC, foundry",nan
Qorvo (formerly RF Micro Devices),,"United States, North Carolina, Greensboro[76]",,,100150,500,8000,"SAW filters, GaAs HBT, GaAs pHEMT, GaN",nan
Qorvo (formerly TriQuint Semiconductor) (formerly Micron) (formerly Texas Instruments) (formerly TwinStar Semiconductor),,"United States,  Texas, Richardson[76]",0.5,1996,"100, 150, 200","350, 250, 150, 90",8000,"DRAM (former), BAW filters, power amps, GaAs pHEMT, GaN-on-SiC",nan
Qorvo (formerly TriQuint Semiconductor),,"United States,  Oregon, Hillsboro[76]",,,"100, 150",500,,"Power amps, GaAs",nan
Apple (formerly Maxim) (formerly Samsung),X3[77],"United States,  California, San Jose",,"?, 1997, 2015[78]",,600–90,,,X3[77]
Analog Devices (formerly Maxim Integrated),MaxFabNorth[79],"United States,  Oregon, Beaverton","(+1, future)[80]",,,,,,MaxFabNorth[79]
Rohm[81] (formerly Renesas),Shiga Factory,Japan,,,200,150,,"IGBT, MOSFET, MEMS",Shiga Factory
Rohm (Lapis Semiconductor)(formerly Oki Semiconductor)(Oki Electric Industry)[81][82],Miyasaki,Japan,,,,150,,MEMS,Miyasaki
Rohm (Lapis Semiconductor)[81],Building No.1,Japan,,1961[83],,,,Transistors,Building No.1
Rohm (Lapis Semiconductor)[81],Building No.2,Japan,,1962[83],,,,Transistors,Building No.2
Rohm (Lapis Semiconductor)[81],Building No.3,Japan,,1962[83],,,,Transistors,Building No.3
Rohm (Lapis Semiconductor)[81],Building No.4,Japan,,1969[83],,,,Transistors,Building No.4
Rohm (Lapis Semiconductor)[81],Chichibu Plant,Japan,,1975[83],,,,DRAM,Chichibu Plant
Rohm (Lapis Semiconductor)[81],VLSI Laboratory No. 1,Japan,,1977[83],,,,VLSI,VLSI Laboratory No. 1
Rohm (Lapis Semiconductor)[81],VLSI Laboratory No. 2,Japan,,1983[83],,,,,VLSI Laboratory No. 2
Rohm (Lapis Semiconductor)[81],VLSI Laboratory No. 3,Japan,,1983[83],,,,DRAM,VLSI Laboratory No. 3
Rohm (Lapis Semiconductor)[81],,Thailand,,1992[83],,,,,nan
Rohm (Lapis Semiconductor)[81],ULSI Laboratory No. 1,Japan,,1992[83],,500,,DRAM,ULSI Laboratory No. 1
