Company,Plant name,Plant location,Plant cost (in US$ billions),Started production,Wafer size (mm),Process technology node (nm),Production capacity (Wafers/Month),Technology / products,Country_Clean
JS Foundry K.K. (formerly ON Semiconductor) (formerly Sanyo)[184][185],Niigata[87],"Japan, Niigata",,,"125, 150","2000–600, 350",120000,"CMOS, bipolar, BiCMOS",Niigata[87]
LA Semiconductor (formerly ON Semiconductor) (formerly AMI Semiconductor),Pocatello[186],"United States, Idaho, Pocatello",,1997[187],200,350,,,Pocatello[186]
Diodes Incorporated[188] (formerly ON Semiconductor) (formerly Fairchild Semiconductor) (formerly National Semiconductor) (formerly Fairchild Semiconductor),SPFAB,"United States,  Maine, South Portland",,1960–1997,200,350,,,SPFAB
Diodes Incorporated[189] (formerly Zetex Semiconductors),OFAB,"UK,  England, Greater Manchester, Oldham",,,150,,,,OFAB
Diodes Incorporated (formerly BCD Semi)[190],,China,,,150,4000–1000,,,nan
Lite-On Optoelectronics[191],,"China, Tianjin",,,,,,,nan
Lite-On Optoelectronics[191],,"Thailand, Bangkok",,,,,,,nan
Lite-On Optoelectronics[191],,"China, Jiangsu",,,,,,,nan
Lite-On Semiconductor[192],Keelung Plant,"Taiwan, Keelung",,1990,100,,,"Thyristor, DIscrete",Keelung Plant
Lite-On Semiconductor[192],Hsinchu Plant,"Taiwan, Hsinchu",,2005,,,,"Bipolar BCD, CMOS",Hsinchu Plant
Lite-On Semiconductor[192],Lite-On Semi (Wuxi),"China, Jiangsu",,2004,100,,,Discrete,Lite-On Semi (Wuxi)
Lite-On Semiconductor[192],Wuxi WMEC Plant,"China, Jiangsu",,2005,,,,"Discrete, Power, Optical ICs",Wuxi WMEC Plant
Lite-On Semiconductor[192],Shanghai (SSEC) Plant,"China, Shanghai",,1993,76,,,"Fab, Assembly",Shanghai (SSEC) Plant
Trumpf[193] (formerly Philips Photonics),,"Germany, Baden-Württemberg, Ulm",,,,,,VCSEL,nan
Philips[194],,"Netherlands, North Brabant, Eindhoven",,,"150, 200",,30000,"R&D, MEMS",nan
Newport Wafer Fab[195] (formerly Infineon Technologies),FAB11,"UK,  Wales, Newport",,,200[196],700-180[196],"32,000[196]","Foundry, Compound Semiconductors, IC, MOSFET, IGBT[197]",FAB11
Nexperia (formerly NXP Semiconductors) (formerly Philips),Hamburg site[198],"Germany, Hamburg",,1953,200,,35000,Small-signal and bipolar discrete devices,Hamburg site[198]
Nexperia (formerly NXP Semiconductors) (formerly Philips) (formerly Mullard),Manchester[198],"UK,  England, Greater Manchester, Stockport",,1987?,"150, 200",,24000,"GaN FETs, TrenchMOS MOSFETs",Manchester[198]
NXP Semiconductors (formerly Philips),ICN8,"Netherlands, Gelderland, Nijmegen",,,200,,"40,000+[199]",SiGe,ICN8
NXP Semiconductors - SSMC,SSMC,Singapore,1.7[3],2001[3],200,120,53000,SiGe,SSMC
NXP Semiconductors – Jilin Semiconductor,,"China, Jilin",,,130,,,,nan
NXP Semiconductors (formerly Freescale Semiconductor) (formerly Motorola),Oak Hill Fab[200],"United States,  Texas, Austin",0.8[201],1991,200,250,,,Oak Hill Fab[200]
NXP Semiconductors (formerly Freescale Semiconductor) (formerly Motorola),Chandler Fab[202],"United States,  Arizona, Chandler[203]",1.1[204] +0.1 (GaN),1993,"150 (GaN), 200",180,,GaN-on-SiC pHEMT,Chandler Fab[202]
NXP Semiconductors (formerly Freescale Semiconductor) (formerly Motorola),ATMC[205],"United States,  Texas, Austin",,1995,200,90,,,ATMC[205]
AWSC,,"Taiwan, Tainan[3]",,1999[3],150,,12000,"Foundry, GaAs HBT, D pHEMT, IPD, ED pHEMT, ED BiHEMT, InGaP",nan
Skyworks Solutions[206] (formerly Conexant) (formerly Rockwell),,"United States,  California, Newbury Park",,,"100, 150",,,"Compound Semiconductors (GaAs, AlGaAs, InGaP)",nan
Skyworks Solutions[206] (formerly Alpha Industries),,"United States, Massachusetts, Woburn",,,"100, 150",,,"RF/cellular components (SiGe, GaAs)",nan
Skyworks Solutions[206],,"Japan, Osaka",,,,,,"SAW, TC-SAW Filters",nan
Skyworks Solutions[206],,"Japan, Kadoma",,,,,,"SAW, TC-SAW Filters",nan
Skyworks Solutions[206],,"Singapore, Bedok South Road",,,,,,"SAW, TC-SAW Filters",nan
Win Semiconductor,Fab A[207],"Taiwan, Taoyuan City",,,150[208],2000–10,,"Foundry, GaAs",Fab A[207]
Win Semiconductor,Fab B[207],"Taiwan, Taoyuan City",,,150[208],2000–10,,"Foundry, GaAs, GaN",Fab B[207]
Win Semiconductor,Fab C,"Taiwan, Taoyuan[3]","0.050, 0.178","2000, 2009[3]",150,,,"Foundry, GaAs",Fab C
AMS-Osram[209],FAB B,"Austria, Styria, Unterpremstätten",,,200,350,,Optoelectronics,FAB B
AMS-Osram (formerly Osram Opto Semiconductors),,"Malaysia, Kulim, Kulim Hi-Tech Park","0.350, 1.18[210]","2017, 2020 (second phase, planned)[211][212]",150,,,LEDs,nan
AMS-Osram (formerly Osram Opto Semiconductors),,"Malaysia, Penang[213][214]",,2009,100,,,LEDs,nan
AMS-Osram (formerly Osram Opto Semiconductors),,"Germany,  Bavaria, Regensburg[215]",,"2003, 2005 (second phase)[216]",,,,LEDs,nan
Winbond,Memory Product Foundry[217],"Taiwan, Taichung",,,300,46,,,Memory Product Foundry[217]
Winbond,CTSP Site[218][219],"Taiwan, No. 8, Keya 1st Rd., Daya Dist., Central Taiwan Science Park, Taichung City 42881",,,300,,,,CTSP Site[218][219]
Winbond[220],,,,Planned,300,,,,nan
Vanguard International Semiconductor,Fab 1[136],"Taiwan, Hsinchu",0.997[3],1994[3],200,"500, 350, 250",55000,"Foundry, CMOS",Fab 1[136]
Vanguard International Semiconductor (formerly Winbond),Fab 2 (formerly Fab 4&5)[221],"Taiwan, Hsinchu",0.965[3],1998[3],200,,55000,Foundry,Fab 2 (formerly Fab 4&5)[221]
Vanguard International Semiconductor Corporation (formerly GlobalFoundries) (formerly Chartered),Fab 3E[222],Singapore,1.3[3],,200,180,34000,Foundry,Fab 3E[222]
TSMC,Fab 2[223][136],"Taiwan, Hsinchu",0.735[3],1990[3],150,"800, 600, 500","88,000[224][3]","Foundry, CMOS",Fab 2[223][136]
TSMC,Fab 3[136],"Taiwan, Hsinchu",2[3],1995[3],200,"500, 350, 250","100,000[3]","Foundry, CMOS",Fab 3[136]
TSMC,Fab 5[136],"Taiwan, Hsinchu",1.4[3],1997[3],200,"350, 250, 180","48,000[3]","Foundry, CMOS",Fab 5[136]
TSMC,Fab 6,"Taiwan, Tainan",2.1[3],"2000, January; 2001[225]","200, 300",180–?,"99,000[3]",Foundry,Fab 6
TSMC (formerly TASMC) (formerly Acer Semiconductor Manufacturing Inc.) (formerly Texas Instruments)[226][227][228],Fab 7[229],Taiwan,,,200,"350, 250, 220, 180",33000,"Foundry (current) DRAM (former), Logic (former)",Fab 7[229]
TSMC (formerly WSMC),Fab 8[230],"Taiwan, Hsinchu",1.6[3],1998[3],200,"250, 180","85,000[3]",Foundry,Fab 8[230]
TSMC (formerly WSMC)[231],,,,2000,200,"250, 150",30000,Foundry,nan
TSMC China Company,Fab 10,"China, Shanghai",1.3[3],2004[3],200,,74000,Foundry,Fab 10
TSMC,Fab 12,"Taiwan, Hsinchu","5.2, 21.6 (total, all phases combined)[3]",2001[3],300,150–28,"77,500–123,800 (all phases combined)[3]",Foundry,Fab 12
TSMC,Fab 12 (P4),"Taiwan, Hsinchu",6[3],2009[3],300,20,"40,000[3]",Foundry,Fab 12 (P4)
TSMC,Fab 12 (P5),"Taiwan, Hsinchu",3.6[3],2011[3],300,20,"6,800[3]",Foundry,Fab 12 (P5)
TSMC,Fab 12 (P6),"Taiwan, Hsinchu",4.2[3],2013[3],300,16,25000,Foundry,Fab 12 (P6)
TSMC,Fab 14,"Taiwan, Tainan",5.1[3],"2002,[225] 2004[3]",300,20,"82,500[3]",Foundry,Fab 14
TSMC,Fab 14 (B),"Taiwan, Tainan",,,300,16,"50,000+[232]",Foundry,Fab 14 (B)
TSMC,Fab 14 (P3)[3],"Taiwan, Tainan",3.1[3],2008[3],300,16,"55,000[3]",Foundry,Fab 14 (P3)[3]
TSMC,Fab 14 (P4)[3],"Taiwan, Tainan",3.750[3],2011[3],300,16,"45,500[3]",Foundry,Fab 14 (P4)[3]
TSMC,Fab 14 (P5)[3],"Taiwan, Tainan",3.650[3],2013[3],300,16,,Foundry,Fab 14 (P5)[3]
TSMC,Fab 14 (P6)[3],"Taiwan, Tainan",4.2[3],2014[3],300,16,,Foundry,Fab 14 (P6)[3]
TSMC,Fab 14 (P7)[3],"Taiwan, Tainan",4.850[3],2015[3],300,16,,Foundry,Fab 14 (P7)[3]
TSMC,Fab 15[233],"Taiwan, Taichung",9.3,2011,300,20,"100,000+(166,000 estimate)[234][232][235]",Foundry,Fab 15[233]
TSMC,Fab 15 (P1)[3],"Taiwan, Taichung",3.125[3],2011,300,,"4,000[3]",Foundry,Fab 15 (P1)[3]
TSMC,Fab 15 (P2)[3],"Taiwan, Taichung",3.150[3],2012[3],300,,,Foundry,Fab 15 (P2)[3]
TSMC,Fab 15 (P3)[3],"Taiwan, Taichung",3.750[3],2013[3],300,,,Foundry,Fab 15 (P3)[3]
TSMC,Fab 15 (P4)[3],"Taiwan, Taichung",3.800[3],2014[3],300,,,Foundry,Fab 15 (P4)[3]
TSMC,Fab 15 (P5)[3],"Taiwan, Taichung",9.020[3],2016[3],300,,35000,Foundry,Fab 15 (P5)[3]
TSMC,Fab 18 (P1-P3),"Taiwan, Southern Taiwan Science Park[236][237]",17.08,2020 (P7 under construction),300,5[238],120000,Foundry,Fab 18 (P1-P3)
TSMC,Fab 18 (P4-P6),"Taiwan, Southern Taiwan Science Park",,"2022 (planned), under construction",300,3[20][239][240],120000,Foundry,Fab 18 (P4-P6)
TSMC,Fab 21 (P1),"United States,  Arizona, Phoenix",12[241],Q4 2024 [242],300,5 & 4[243],"20,000[243]",Foundry,Fab 21 (P1)
TSMC,Fab 21 (P2),"United States,  Arizona, Phoenix",65 (shared for Fab 21 site)[242],"2H 2027 (planned), under construction[244][242][245]",,3[242],,Foundry,Fab 21 (P2)
TSMC,Fab 21 (P3),"United States,  Arizona, Phoenix",65 (shared for Fab 21 site)[242],"2029-2030 (planned), under construction[242][245]",,1.6 & 2[242],,Foundry,Fab 21 (P3)
Epistar,Fab F1[246],"Taiwan, Longtan Science Park",,,,,,LEDs,Fab F1[246]
Epistar,Fab A1[246],"Taiwan, Hsinchu Science Park",,,,,,LEDs,Fab A1[246]
Epistar,Fab N2[246],"Taiwan, Hsinchu Science Park",,,,,,LEDs,Fab N2[246]
Epistar,Fab N8[246],"Taiwan, Hsinchu Science Park",,,,,,LEDs,Fab N8[246]
Epistar,Fab N1[246],"Taiwan, Hsinchu Science Park",,,,,,LEDs,Fab N1[246]
Epistar,Fab N3[246],"Taiwan, Hsinchu Science Park",,,,,,LEDs,Fab N3[246]
Epistar,Fab N6[246],"Taiwan, Chunan Science Park",,,,,,LEDs,Fab N6[246]
Epistar,Fab N9[246],"Taiwan, Chunan Science Park",,,,,,LEDs,Fab N9[246]
Epistar,Fab H1[246],"Taiwan, Central Taiwan Science Park",,,,,,LEDs,Fab H1[246]
Epistar,Fab S1[246],"Taiwan, Tainan Science Park",,,,,,LEDs,Fab S1[246]
Epistar,Fab S3[246],"Taiwan, Tainan Science Park",,,,,,LEDs,Fab S3[246]
Epistar (formerly TSMC)[247][248][249],,"Taiwan, Hsin-Chu Science Park",0.08,"2011, second half",,,,LEDs,nan
GCS,,"United States,  California, Torrance[3]",,1999[3],100,,6400,"Foundry, GaAs, InGaAs, InGaP, InP, HBT, PICs",nan
Bosch,,"Germany, Baden-Württemberg, Reutlingen",,1995[250],150,,,"ASIC, analog, power, SiC",nan
Bosch,,"Germany,  Saxony, Dresden",1.0[251],2021,300,65,,,nan
Bosch,WaferFab,"Germany, Baden-Württemberg, Reutlingen",0.708[252],2010[250],200,,30000,"ASIC, analog, power, MEMS",WaferFab
STMicroelectronics,"AMK8 (second, newer fab)","Singapore, Ang Mo Kio",,1995,200,,,,AMK8 (second
STMicroelectronics (formerly SGS Microelettronica),AMJ9 (first fab),"Singapore, Ang Mo Kio",,1984[253],"150, 200",,"6"" 14 kpcs/day, 8"" 1.4 kpcs/day",Power-MOS/ IGBT/ bipolar/ CMOS,AMJ9 (first fab)
X-Fab,Erfurt,"Germany, Thuringia, Erfurt",,1985[3],200[254],1000-600[254],11200–[254],"Foundry, InP",Erfurt
X-Fab (formerly ZMD),Dresden,"Germany,  Saxony, Dresden",0.095[3],1985[3],200[255],1000-350[255],6000–[255],"Foundry, CMOS, GaN-on-Si",Dresden
X-Fab (formerly MEMS Foundry Itzehoe),Itzehoe,"Germany, Schleswig-Holstein, Itzehoe",,,200[256],,13000–[256],"Foundry, MEMS",Itzehoe
X-Fab (formerly 1st Silicon)[257][258],Kuching,"Malaysia, Kuching",1.89[3],2000[3],200[259],350-130[259],"30,000–[259]",Foundry,Kuching
X-Fab (formerly Texas Instruments),Lubbock,"United States,  Texas, Lubbock",0.197[3],1977[3],"150, 200[260]",1000-600[260],15000–[260],"Foundry, SiC",Lubbock
X-Fab France SAS (formerly Altis Semiconductor) (formerly IBM)[261],ACL-AMF,"France, Île-de-France, Corbeil-Essonnes",,"1991, 1964[3]",200,350-110,,"Foundry, CMOS, RF SOI",ACL-AMF
IXYS,,"Germany, Hesse, Lampertheim[262]",,,,,,IGBT[262],nan
IXYS,,"UK,  England, Wiltshire, Chippenham[262]",,,,,,,nan
IXYS,,"United States, Massachusetts[262]",,,,,,,nan
IXYS,,"United States,  California[262]",,,,,,,nan
Samsung,V1-Line[263],"South Korea, Hwaseong",6,"2020, February 20",300,7,,Foundry,V1-Line[263]
Samsung,S5-Line,"South Korea, Pyeongtaek",,,300,,,Foundry,S5-Line
Samsung,S4-Line,"South Korea, Hwaseong",,,300,,,Foundry,S4-Line
Samsung,S3-Line,"South Korea, Hwaseong","10.2, 16.2 (planned)[264][265]",2017[264],300,10,200000,Foundry,S3-Line
Samsung,S1-Line,"South Korea, Giheung",33 (total),"2005 (second phase), 1983 (first phase)[266][267]",300,65–7,62000,"Foundry, CMOS, FDSOI",S1-Line
Samsung,Line-6,"South Korea, Giheung",,,"100, 150, 200","1500–500, 180–65",,"Foundry, CMOS, BiCMOS",Line-6
Samsung,S6-Line,"United States,  Texas, Taylor",,,300,,,Foundry,S6-Line
Samsung,S2-Line,"United States,  Texas, Austin",16[268][269],2011,300,65–11,92000,"Foundry, CMOS, FDSOI",S2-Line
Samsung,Pyeongtaek[270][271][264],"South Korea, Pyeongtaek","14.7, 27 (total)[272][269][273][274][275][276][277][169]","2017, July 6",300,14,"450,000[278]","V-NAND, DRAM",Pyeongtaek[270][271][264]
Samsung,Samsung China Semiconductor[279],"China, Shaanxi Province",,,,,,DDR Memory,Samsung China Semiconductor[279]
Samsung,F1x1[280][264],"China, Xian",2.3[281],"2014 (first phase, second phase is under review)[264]",300,20,100000,VNAND,F1x1[280][264]
Samsung,Giheung Campus[282],"South Korea, Gyeonggi-do, Yongin",,,,,,LEDs,Giheung Campus[282]
Samsung,Hwasung Campus[282],"South Korea, Gyeonggi-do, Hwaseong",,,,,,LEDs,Hwasung Campus[282]
Samsung,"Tianjin Samsung LED Co., Ltd.[282]","China, Tianjin, Xiqing",,,,,,LEDs,Tianjin Samsung LED Co.
Seagate,,"United States, Minnesota, Minneapolis[283]",,,,,,"Read/write heads,",nan
Seagate,,"UK, Northern Ireland[284][285][286][287]",,,,,,Read/write heads,nan
Broadcom Inc. (formerly Avago),,"United States, Colorado, Fort Collins[288]",,,,,,,nan
Wolfspeed (formerly Cree Inc.)[289],Durham,"United States, North Carolina, Durham",,,,,,"Compound Semiconductors, LEDs",Durham
Wolfspeed (formerly Cree Inc.)[290],Research Triangle Park,"United States, North Carolina",,,,,,GaN HEMT RF ICs,Research Triangle Park
SMART Modular Technologies,,"Brazil, São Paulo, Atibaia",,2006,,,,Packaging,nan
Infineon Technologies,Villach,"Austria, Carinthia, Villach",,1970[291],"100, 150, 200, 300",,,"MEMS, SiC, GaN",Villach
Infineon Technologies,Dresden,"Germany,  Saxony, Dresden",3[292],1994–2011[293],"200, 300",90,,,Dresden
Infineon Technologies,Kulim[294],"Malaysia, Kulim Hi-Tech Park",,2006[295],"200, 300",,50000,"Power Semiconductor, GaN, SiC",Kulim[294]
Infineon Technologies,Kulim 2,"Malaysia, Kulim Hi-Tech Park",,2015,"200, 300",,50000,"Power Semiconductor, GaN, SiC",Kulim 2
Infineon Technologies,Kulim 3,"Malaysia, Kulim Hi-Tech Park",8[296],2025,200,,,"Power Semiconductor, GaN, SiC",Kulim 3
Infineon Technologies,Regensburg[297],"Germany,  Bavaria, Regensburg",,1959,,,,,Regensburg[297]
Infineon Technologies,Cegled[298],"Hungary, Pest, Cegléd",,,,,,,Cegled[298]
Infineon Technologies (formerly Cypress Semiconductor) (formerly Spansion) (formerly AMD),Fab 25,"United States,  Texas, Austin[299]",1.5,1995,200,,,,Fab 25
D-Wave Systems[300],Superconducting Foundry[301],,,,,,,Quantum Processing Units (QPUs)[301],Superconducting Foundry[301]
GlobalFoundries (formerly AMD),Fab 1 Module 1[302],"Germany,  Saxony, Dresden",3.6[3],2005,300,45-22,"35,000[3]","Foundry, SOI, FDSOI",Fab 1 Module 1[302]
GlobalFoundries (formerly AMD),Fab 1 Module 2,"Germany,  Saxony, Dresden",4.9[3],1999,300,45-22,"25,000[3]","Foundry, SOI",Fab 1 Module 2
GlobalFoundries,Fab 1 Module 3,"Germany,  Saxony, Dresden",2.3[3],2011[3],300,45-22,"6,000[3]","Foundry, SOI",Fab 1 Module 3
GlobalFoundries (formerly Chartered),Fab 2[222],Singapore,1.3[3],1995[3],200,600-350,"56,000[3]","Foundry, SOI",Fab 2[222]
GlobalFoundries (formerly Chartered),Fab 3/5[222],Singapore,"0.915, 1.2[3]","1997, 1995[3]",200,350-180,54000,"Foundry, SOI",Fab 3/5[222]
GlobalFoundries (formerly Chartered),Fab 6[222] (merged into Fab 7),Singapore,1.4[3],2000[3],"200, 300 (merged)",180-110,45000,"Foundry, SOI",Fab 6[222] (merged into Fab 7)
GlobalFoundries (formerly Chartered),Fab 7[302],Singapore,4.6[3],2005[3],300,"130, 110, 90, 65, 40",50000,"Foundry, Bulk CMOS, RF SOI",Fab 7[302]
GlobalFoundries,Fab 8[302],"United States, New York, Malta","4.6, 2.1, (1, future)[303] 13+ (total)[175][304]","2012, 2014[3]",300,"28, 22, 14, 12","60,000 (+12,500 future)","Foundry, High-K Metal Gate,[305] SOI FinFET",Fab 8[302]
GlobalFoundries (formerly IBM[306]),Fab 9,"United States, Vermont, Essex Junction",,1957[307],200,350-90,"50,000[308]","Foundry, SiGe, RF SOI, GaN[308]",Fab 9
GlobalFoundries,Technology Development Center[3],"United States,  New York, Malta",1.5[3],2014[3],,,,,Technology Development Center[3]
SUNY Poly CNSE,NanoFab 300 North[309],"United States,  New York, Albany","0.175, 0.050","2004, 2005",300,"65, 45, 32, 22",,,NanoFab 300 North[309]
SUNY Poly CNSE,NanoFab 200[310],"United States,  New York, Albany",0.016,1997,200,,,,NanoFab 200[310]
SUNY Poly CNSE,NanoFab Central[309],"United States,  New York, Albany",0.15,2009,300,22,,,NanoFab Central[309]
Skorpios Technologies (formerly Novati) (formerly ATDF) (formerly SEMATECH),,"United States,  Texas, Austin[3][311]",0.065,1989[3],200,,10000,"MEMS, photonics, foundry",nan
Opto Diode,,"United States,  California, Camarillo[312]",,,,,,"LED, Photodiode, PbS/PbSe Infrared Detectors",nan
Optek Technology[313],,,,1968,"100, 150",,,"GaAs, LEDs",nan
II-VI (formerly Oclaro) (formerly Bookham) (formerly NORTHERN TELECOM SEMICONDUCTOR NORTHERN TELECOM EUROPE[313]) (formerly JDS Uniphase) (formerly Uniphase),,,,,,,,"Semiconductor Lasers, Photodiodes",nan
Infinera,,"United States,  California, Sunnyvale[314][315]",,,,,,,nan
Rogue Valley Microdevices[316][317][318],,"United States,  Oregon, Medford",,2003,50.8–300,,,"MEMS Foundry, Thin Films Foundry, Silicon Wafers, Wafer Services, MEMS R&D",nan
Atomica,Fab 1,"United States,  California, Goleta",,2000,"150, 200",350,20000,"Foundry: MEMS, Photonics, Sensors, Biochips",Fab 1
Sensera,uDev-1,"United States, Massachusetts, Woburn",,2014,150,700,1000,"MEMS, MicroDevice assembly",uDev-1
Rigetti Computing,Fab-1[319][320][321],"United States,  California, Fremont",,,130,,,Quantum Processors,Fab-1[319][320][321]
Polar Semiconductor[322],"FAB 1,2,3","United States, Minnesota, Bloomington",,,200,,,"BCD, HV, GMR",FAB 1
Orbit Semiconductor[313],,,,,100,,,"CCD, CMOS",nan
Entrepix,,"United States,  Arizona, Tempe[3]",,2003[3],,,,,nan
Technologies and Devices International,,"United States,  Florida, Silver Springs[3]",,2002[3],,,,,nan
Soraa Inc,,"United States,  California[323][324]",,,,,,,nan
Soraa Laser Diode[323],,,,,,,,,nan
Mirrorcle Technologies,,"United States,  California, Richmond[325]",,,,,,,nan
Unitec do Brasil,,"Brazil, Minas Gerais, Ribeirão das Neves",,Planned,,,,,nan
Unitec Blue[326],,"Argentina, Buenos Aires Province, Chascomús",0.3 (1.2 planned)[327],2013,,,,"RFID, SIM, EMV",nan
Everlight,Yuan-Li Plant,"Taiwan, Miao-Li",,,,,,LEDs,Yuan-Li Plant
Everlight,Pan-Yu Plant,China,,,,,,LEDs,Pan-Yu Plant
Everlight,Tu-Cheng Plant,"Taiwan, Taipei Country",,,,,,LEDs,Tu-Cheng Plant
Optotech[328],,"Taiwan, Hsinchu",,,,,,LEDs,nan
Arima Optoelectronics,,"Taiwan, Hsinchu[3]",,1999[3],,,,,nan
Episil Semiconductor,,"Taiwan, Hsinchu[3]",,"1992, 1990, 1988[3]",,,,,nan
Episil Semiconductor,,"Taiwan, Hsinchu[3]",,"1992, 1990, 1988[3]",,,,,nan
Creative Sensor Inc. Archived 2017-07-07 at the Wayback Machine[329][330],NanChang Creative Sensor,"China, Jiangxi",,2007,,,,Image Sensors,NanChang Creative Sensor
Creative Sensor Inc. Archived 2017-07-07 at the Wayback Machine [329],Wuxi Creative Sensor,"China, Jiangsu",,2002,,,,,Wuxi Creative Sensor
Creative Sensor Inc. Archived 2017-07-07 at the Wayback Machine [329],Wuxi Creative Sensor,"Taiwan, Taipei City",,1998,,,,,Wuxi Creative Sensor
Visera Technologies[331],Headquarters Phase I,"Taiwan, Hsinchu Science-based Industrial Park",,"2007, September",,,,CMOS Image Sensors,Headquarters Phase I
Panjit,,"Taiwan, Kaohsiung[3]",0.1,2003[3],,,,,nan
Nanosystem Fabrication Facility,,Hong Kong[332],,,,,,,nan
GTA Semiconductor (formerly ASMC)[333][334],"Fab 2, Fab 3[335]","China, Shanghai, Xuhui District",,,200,"350, 180, 150[336]",55333,"HV Analog, Power",Fab 2
GTA Semiconductor,"Fab 5, Fab 6","China, Shanghai, Pudong New Area",5.1[337],2020,"150, 200, 300",,115000,,Fab 5
Shanghai Belling[338],,"China, Shanghai",,,150,1200,,"BiCMOS, CMOS",nan
SiSemi[339],,"China, Shenzhen, Longgang High-tech Industrial Park[340]",,2004,130,,,"Power semiconductors, LED drivers, bipolar power transistors, power MOSFETs",nan
SiSemi[340],,,,1997,100,,,Transistors,nan
CRMicro (formerly CSMC)[341],Fab 1,,,1998[3],150[342],,"60,000[3]","HV Analog, MEMS, Power, Analog, Foundry",Fab 1
CRMicro (formerly CSMC),Fab 2,"China, Wuxi",,2008[3],200[342],"180, 130","40,000[3]","HV Analog, Foundry",Fab 2
CRMicro (formerly CSMC),Fab 3,,,1995[3],200[342],130,"20,000[3]",,Fab 3
CRMicro (formerly CSMC),Fab 5,,,2005[3],,,"30,000[3]",,Fab 5
Nexchip[20],N1[343],"China, Hefei",,Q4 2017,300,150-40,40000,Display Drivers IC[344],N1[343]
Nexchip[20],N2[343],"China, Hefei",,Under construction,300,,40000,,N2[343]
Nexchip[20],N3[343],"China, Hefei",,Under construction,300,,40000,,N3[343]
Nexchip[20],N4[343],"China, Hefei",,Under construction,300,,40000,,N4[343]
Wandai[20],CQ,"China, Chongqing",,Under construction,300,,20000,,CQ
San'an Optoelectronics[345],"Tianjin San'an Optoelectronics Co., Ltd.","China, Tianjin",,,,,,LEDs,Tianjin San'an Optoelectronics Co.
San'an Optoelectronics,"Xiamen San'an Optoelectronics Technology Co., Ltd.","China, Xiamen",,,,,,LEDs,Xiamen San'an Optoelectronics Technology Co.
San'an Optoelectronics,"Xiamen San'an Optoelectronics Co., Ltd.","China, Xiamen",,,,,,LEDs,Xiamen San'an Optoelectronics Co.
San'an Optoelectronics,"Wuhu Anrui Optoelectronics Co., Ltd.","China, Wuhu",,,,,,LEDs,Wuhu Anrui Optoelectronics Co.
San'an Optoelectronics,"Anrui San'an Optoelectronics Co., Ltd.","China, Wuhu",,,,,,LEDs,Anrui San'an Optoelectronics Co.
San'an Optoelectronics,"Quanzhou San'an Semiconductor Technology Co., Ltd.","China, Nan'an",,,,,,LEDs,Quanzhou San'an Semiconductor Technology Co.
Sanan IC[346],Xiamen Fab[347],"China, Xiamen",0.00785,2014,150,,30000,"SAW filters, Foundry, GaA, GaN, RF, Power",Xiamen Fab[347]
Sanan IC,Quanzhou Fab,"China, Quanzhou",4.6,2017,150,,8000,"SAW filters, Foundry, GaA, RF",Quanzhou Fab
Sanan IC,Changsha Fab,"China, Changsha",2.3,2021,150,,30000,"Foundry, GaN, SiC, Power",Changsha Fab
Hua Hong Semiconductor,HH Fab7,"China, Wuxi",,,300,90-55,"95,000[348]","Foundry, eNVM, RF, Mixed Signal, Logic, Power Management, Power Discrete",HH Fab7
Hua Hong Semiconductor,HH Fab1,"China, Shanghai, Jinqiao",,,200,95,"65,000[349]","Foundry, eNVM, RF, Mixed Signal, Logic, Power Management, Power Discrete",HH Fab1
Hua Hong Semiconductor,HH Fab2,"China, Shanghai, Zhangjiang",,,200,180,"60,000[349]","Foundry, eNVM, RF, Mixed Signal, Logic, Power Management, Power Discrete",HH Fab2
Hua Hong Semiconductor,HH Fab3,"China, Shanghai, Zhangjiang",,,200,90,"53,000[349]","Foundry, eNVM, RF, Mixed Signal, Logic, Power Management, Power Discrete",HH Fab3
Hua Hong Semiconductor (HLMC),HH Fab5[350],"China, Shanghai, Zhangjiang",,2011,300,65/55-40,35000,Foundry,HH Fab5[350]
Hua Hong Semiconductor (HLMC),HH Fab6,"China, Shanghai, Kangqiao",,2018,300,28/22,40000,Foundry,HH Fab6
HuaLei Optoelectronic,,China,,,,,,LEDs[351],nan
Sino King Technology[19],,"China, Hefei",,2017,,,,DRAM,nan
APT Electronics,,"China, Guangzhou[3]",,2006[3],,,,,nan
Aqualite,,"China, Guangzhou[3]",,2006[3],,,,,nan
Aqualite,,"China, Wuhan[3]",,2008[3],,,,,nan
Xiamen Jaysun Semiconductor Manufacturing,Fab 101,"China, Xiamen[3]",0.035,2011[3],,,,,Fab 101
Xiyue Electronics Technology,Fab 1,"China, Xian[3]",0.096,2007[3],,,,,Fab 1
Hanking Electronics,Fab 1,"China, Fushun",,2018,200,,"10,000 – 30,000","MEMS Foundry Archived 2021-03-08 at the Wayback Machine, MEMS Design Archived 2021-03-08 at the Wayback Machine MEMS Sensors (Inertial, Pressure, Ultrasound, Piezoelectric, LiDar, Bolometer ) IoT Motion Sensors",Fab 1
CanSemi[352],Phase I,"China, Guangzhou",4,2019[353],300,180–90[354],20000,"Power, Analog, Power Discrete",Phase I
CanSemi,Phase II,"China, Guangzhou",,2022,300,90-55,20000,,Phase II
CanSemi,Phase III,"China, Guangzhou",2.4[355],Planned,300,55-40,40000,"Automotive, IoT",Phase III
