typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,634,QAT,Qatar,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.007,True,0.0,False,,1.048,1.048,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,642,ROU,Romania,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,4832.031,True,0.0,False,,119692.474,119692.474,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,674,SMR,San Marino,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1.0,False,5,u,1.0,False,1.0,False,0.0,False,,20.957,20.957,0,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,678,STP,Sao Tome and Principe,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2733.78,True,-1,,0.0,False,258.054,True,0.0,False,,14529.835,14529.835,6,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,682,SAU,Saudi Arabia,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,2.23,True,0.0,False,,6354.314,6354.314,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,686,SEN,Senegal,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,35.0,False,0.0,False,,20993.128,20993.128,0,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,688,SRB,Serbia,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,5.977,True,0.0,False,,2647.98,2647.98,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,699,IND,India,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,566.43,True,0.0,False,,597618.831,597618.831,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,702,SGP,Singapore,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,12934.784,True,0.0,False,,25138582.027,25138582.027,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,703,SVK,Slovakia,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,61348.0,False,0.0,False,,3026347.878,3026347.878,0,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,704,VNM,Viet Nam,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.434,True,-1,,0.0,False,2.434,True,0.0,False,,164.516,164.516,6,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,705,SVN,Slovenia,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,919.243,True,0.0,False,,44747.406,44747.406,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,710,ZAF,South Africa,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,10268.523,True,-1,,0.0,False,32.665,True,0.0,False,,24635.541,24635.541,6,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,724,ESP,Spain,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,288710.54,True,0.0,False,,16950630.336,16950630.336,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,752,SWE,Sweden,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,48503.352,True,0.0,False,,544944.25,544944.25,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,757,CHE,Switzerland,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,4290.376,True,0.0,False,,22041148.405,22041148.405,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,764,THA,Thailand,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,994.125,True,0.0,False,,5644884.811,5644884.811,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,768,TGO,Togo,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.173,True,0.0,False,,50.298,50.298,4,False,True
